實裝時間,角色名稱,角色中文名稱,星數,天冥,武器類型,防具類型,屬性,個性
2017/4/12,セヴェン,賽溫,5,天,杖,戒指,風,"眼鏡,IDA學園,精靈對話,失落實驗室"
2017/4/12,メイ,玫,5,天,槌,手環,地,"鐵匠鋪,眼鏡,採礦,戀愛煩惱,巴路奧其"
2017/4/12,フィーネ,菲妮,5,冥,杖,戒指,無,"喜歡貓咪,料理,巴路奧其,大地稜晶"
2017/4/12,プライ,普萊,5,冥,槌,手環,火,"神職人員,採礦,西方"
2017/4/12,ブリアー,布利亞,5,天,槍,手環,水,"精靈,弗利列斯"
2017/4/12,ビヴェット,碧薇特,5,天,杖,戒指,火,"喜歡貓咪,精靈對話,動物對話"
2017/4/12,リィカ,莉卡,5,天,槌,手環,地,"喜歡貓咪,採礦,KMS公司,機械"
2017/4/12,ヘレナ,海蕾娜,5,冥,杖,戒指,地,"蒙面,合成人類"
2017/4/12,サイラス,賽勒斯,5,天,刀,戒指,水,"東方,天之指引,詛咒"
2017/4/12,エイミ,艾米,5,天,拳,項鍊,風,"鐵匠鋪,料理,靈媒體質,復仇者"
2017/4/12,シエル,西雅爾,5,天,弓,戒指,地,吟遊詩人
2017/4/12,ミーユ,米悠,5,天,劍,手環,火,"米格蘭斯王宮,王族"
2017/4/12,アルド,阿爾德,5,天,劍,手環,火,"主角,天之指引,採集,新夢想過激團,新時空極限流派,龍,巴路奧其,普賢一刀流,協奏聯技,阿卡迪亞"
2017/4/12,シオン,紫央,5,天,刀,戒指,火,"喜歡貓咪,東方,竹馬之友,騎乘,普賢一刀流"
2017/4/12,シュゼット,蘇賽特,5,天,槍,手環,風,"喜歡甜點,美食,失落實驗室"
2017/4/12,トゥーヴァ,杜娃,5,冥,杖,戒指,地,"靈媒體質,喜歡起綽號,葬儀"
2017/4/12,マイティ,麥提,5,天,杖,戒指,水,"IDA學園,午睡"
2017/4/12,マリエル,瑪莉艾爾,5,天,杖,戒指,無,"喜歡貓咪,神職人員"
2017/4/12,ロキド,洛基德,5,天,拳,項鍊,地,"魔獸,復仇者"
2017/4/12,アカネ,茜,4,天,刀,戒指,火,東方
2017/4/12,イオ,伊俄,4,天,斧,項鍊,地,屠龍者
2017/4/12,オトハ,乙葉,4,天,刀,戒指,地,"喜歡貓咪,東方,生物"
2017/4/12,キュカ,喬卡,4,天,斧,項鍊,風,"蒙面,喜歡力水,法外之人"
2017/4/12,クレルヴォ,克利霍,4,天,杖,戒指,無,"眼鏡,科學家,採集,KMS公司"
2017/4/12,コマチ,小町,4,天,槍,手環,地,東方
2017/4/12,ソイラ,蘇依萊,4,天,槍,手環,風,"米格蘭斯王宮,午睡"
2017/4/12,ダルニス,達爾尼思,4,天,弓,戒指,風,"採集,巴路奧其"
2017/4/12,デニー,丹尼,4,天,斧,項鍊,水,喜歡黑尾鷗
2017/4/12,ニケ,尼姬,4,冥,刀,戒指,水,"東方,法外之人"
2017/4/12,ノマル,諾馬爾,4,天,槍,手環,水,"採礦,裝備,巴路奧其"
2017/4/12,パリサ,帕莉莎,4,冥,弓,戒指,火,"吟遊詩人,詛咒"
2017/4/12,フォラン,芙朗,4,天,槍,手環,水,"IDA學園,討厭貓咪"
2017/4/12,ブリーノ,布里諾,4,冥,劍,手環,地,"米格蘭斯王宮,精靈"
2017/4/12,ベネディト,貝內迪特,4,冥,斧,項鍊,風,"採集,法外之人,樵夫"
2017/4/12,ポム,波姆,4,天,杖,戒指,無,"科學家,採集"
2017/4/12,ミュロン,繆倫,4,天,劍,手環,地,神職人員
2017/4/12,ミランダ,米蘭達,4,天,斧,項鍊,火,"喜歡力水,喜歡黑尾鷗"
2017/4/12,リンリー,林麗,4,天,拳,項鍊,火,"東方,料理"
